,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
4218,新化區,房地(土地+建物),商,107,4,透天厝,4,0,0,64.88625,0,12,1.0
4257,鹽水區,房地(土地+建物),住,107,7,華廈(10層含以下有電梯),4,0,0,32.739575,23,6,0.5714285714285714
4267,南區,房地(土地+建物)+車位,商,107,10,華廈(10層含以下有電梯),4,1,0,33.804375,22,7,0.5
4271,中西區,房地(土地+建物)+車位,商,107,13,住宅大樓(11層含以上有電梯),4,1,0,34.53945,25,7,0.6153846153846154
4311,南區,房地(土地+建物),商,107,10,套房(1房1廳1衛),4,1,0,11.44055,22,3,0.9
4314,中西區,房地(土地+建物)+車位,住,107,5,公寓(5樓含以下無電梯),4,1,0,40.4019,33,10,1.0
4363,學甲區,房地(土地+建物),住,107,12,住宅大樓(11層含以上有電梯),4,1,0,28.011499999999998,23,6,0.8333333333333334
4406,鹽水區,房地(土地+建物),其他,107,5,公寓(5樓含以下無電梯),4,0,0,31.236150000000002,25,5,0.4
4444,中西區,房地(土地+建物),住,107,14,住宅大樓(11層含以上有電梯),4,1,0,33.816475000000004,20,7,0.7142857142857143
4460,永康區,房地(土地+建物),其他,107,7,套房(1房1廳1衛),4,1,0,7.2932749999999995,24,2,0.7142857142857143
